"Title","Description","Link","Hackathon"
"bloq","search on-chain data with a prompt, we enable users to search on-chain data and consume it in layman language","https://ethglobal.b-cdn.net/projects/9k8fv/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"SecurityModuleForAA","The user enabled Safe Guard with 2FA (via email) to protect the Smart Account from the risk of a compromised EOA key.","https://ethglobal.b-cdn.net/projects/ufcg7/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"BenderBite","AI Employee Bender: get AI advices based on previous winners, vote for other project and get prices and meet friends!","https://ethglobal.b-cdn.net/projects/331m7/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"EssenSwap","EssenSwap is a limit orderbook-based exchange built on the Essential blockchain.","https://ethglobal.b-cdn.net/projects/82ygd/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Wilson:sound intents","Execute, Attest, Validate, and Share Communicated data via agent-assisted contracts.","https://ethglobal.b-cdn.net/projects/x147v/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Real Lend","Borrowers pledge real-world assets as collateral. An oracle sets the asset’s value and posts a bond. Lenders provide loans with interest. If borrowers default, lenders sell the asset to the oracle to recover funds. Loans can also be sold early through Dutch auctions.","https://ethglobal.b-cdn.net/projects/11w4v/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Omi FM","Decentralized music player, let smart contracts take care of creating the vibes.","https://ethglobal.b-cdn.net/projects/i6xxx/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Block-Jack 21","I have build a multiplayer Blackjack game on the blockchain with one smart contract using Phoenix Solidity for data encryption and privacy. Web3.js and React with Tailwind CSS will handle the UI for smooth player interaction.","https://ethglobal.b-cdn.net/projects/t68nv/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Rhizome","Rhizome Markets is a synthetics protocol built on the Rootstock EVM. Rhizome enhances capital efficiency and risk diversification with multicollateralization, allowing users to engage in hedging, yield farming, and collateralized debt positions directly on Rootstock.","https://ethglobal.b-cdn.net/projects/1a0t5/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Kiss Or Slap 2.0","A gamified mobile social app that people can earn under prisoner's dilemma","https://ethglobal.b-cdn.net/projects/5yxze/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"artist-popup","Short Description: A decentralized platform for artist pop-up events, enabling artists to mint NFTs for their physical artwork and attendees to collect digital assets with exclusive content","https://ethglobal.b-cdn.net/projects/8tqgc/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"EZLaunch","A platform for launching meme tokens with an innovative trading curve that optimizes liquidity and token price discovery. Users can easily mint and trade meme tokens, while the enhanced curve ensures better liquidity dynamics, fostering a smoother trading experience.","https://ethglobal.b-cdn.net/projects/p1gfa/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"RPFT","RPFT stands for Royalty Points Fungible Token is like transfer Royaltypoints of one brands to another one","https://ethglobal.b-cdn.net/projects/jygem/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Earnify","An all-in-one platform that helps aspiring influencers earn instantly by completing brand tasks, while enabling companies to boost engagement and advertise effectively through real people.","https://ethglobal.b-cdn.net/projects/4hks7/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Loop","Loop is an onchain platform for reinforcement learning with human feedback (RLHF)","https://ethglobal.b-cdn.net/projects/yjppn/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"splitoon","imagine giving ai access to your venmo account (real) (they could never)","https://ethglobal.b-cdn.net/projects/s5j5c/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"SuperTweets","Do Crypto Transactions on your Twitter Feed - Now on any chain!","https://ethglobal.b-cdn.net/projects/urhdz/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"ReadyVU","SaaS platform for Teleradiology, remote reporting tools for medical Imaging for various stake holders","https://ethglobal.b-cdn.net/projects/yc4hu/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"GovernEase","GovernEase is a cross-chain DAO tooling platform that simplifies DAO creation. It enables users to configure governance, manage tokens, and select voting methods through a seamless interface, allowing quick and efficient setup across multiple blockchains.","https://ethglobal.b-cdn.net/projects/17pde/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"FlowBets","A transparent, crowdsourced sports betting platform on Flow's network utilizing smart contracts","https://ethglobal.b-cdn.net/projects/u48sh/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Sign up to get the latest news and updates on ETHGlobal","A transparent, crowdsourced sports betting platform on Flow's network utilizing smart contracts","https://ethglobal.b-cdn.net/projects/u48sh/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"FlowBets","A Web Platform for Image Authenticity Verification Using Zero-Knowledge Proofs","https://ethglobal.b-cdn.net/projects/exdzo/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"PixelProof","A Dutch auction platform written in Pint, Essential's DSL for declarative smart contracts, focused on logic rather than execution.","https://ethglobal.b-cdn.net/projects/jpwjo/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"PintAuction","An accountability app to share goals with your friends. put your money where your mouth is","https://ethglobal.b-cdn.net/projects/nqbcs/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Bet","A decentralized social app where you store your encrypted data once and then use it across multiple apps","https://ethglobal.b-cdn.net/projects/qa3o7/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Socialfly","An IRL laser tag game with onchain components and fun. Place bounties on adverseries, mint powerup NFTs, and win the space race!","https://ethglobal.b-cdn.net/projects/qq1r9/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Web3Warfare","A crowd-sourced and incentivised bridging protocol using Layer Zero's OApp interface.","https://ethglobal.b-cdn.net/projects/yo7bg/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Liquid","An AI x Crypto OnlyFans. Uses Generative AI to create text responses and Images for the AI avatars, and faciiltates onchain transactions done by users and agents.","https://ethglobal.b-cdn.net/projects/k8x9r/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"AI Fans","decentralised fine tuning of web agents and rag on chain, using lit and walrus","https://ethglobal.b-cdn.net/projects/8jbmi/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"AutoWebChain","Gains Gladiator is an AI agent tournament simulator. It pits two AI's against each other in a battle to the riches!","https://ethglobal.b-cdn.net/projects/qvbnj/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Gains Gladiator","Infinite crafting game using GenAI and awarding NFTs, this game involves combining concepts and exploring what they might create","https://ethglobal.b-cdn.net/projects/5wsiz/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Fuse","Instagram, but the photos are in EIP-4844 blobs. Ephemeral on-chain social.","https://ethglobal.b-cdn.net/projects/11yph/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Photo-Danksharding","A simple, browser-based game where players s navigate through a foggy San Francisco, collecting and trading NFTs","https://ethglobal.b-cdn.net/projects/fsd4k/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"MySFGame","Enabling Roblox's 300 million (MAUs) to create, buy, and sell meme coins using bonding curves.","https://ethglobal.b-cdn.net/projects/833sq/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Roblox Coin Exchange","AI Oracle on Fhenix enabling inference over private data to go on chain. Demonstrated application of an agent and data economy","https://ethglobal.b-cdn.net/projects/75p06/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Intellijack","ChainSplash revolutionizes charitable giving using blockchain. We ensure transparency, efficiency, and privacy in donations through smart contracts, NFTs, and zero-knowledge proofs. Empower trust in global giving with real-time tracking and reduced overhead costs.","https://ethglobal.b-cdn.net/projects/m5db8/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"ChainSplash","Buy, sell and trade datasets as tokens to boost it's credibility, tracking ownership starting with survey data today","https://ethglobal.b-cdn.net/projects/a8jbh/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"DeForms","Novel agent chat interface lets users interact with their autonomous agents","https://ethglobal.b-cdn.net/projects/mnhr4/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"ConversationStation","Plutus is financial assistant that can help you with managing money, boosting credit score and paying off debts with lowest interests.","https://ethglobal.b-cdn.net/projects/mtwx0/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Plutus","Marketplace for data vendors and inference vendors. Run AI inference on any data vendor with your choice of open source models, without knowing the data.","https://ethglobal.b-cdn.net/projects/v2ms0/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Lit Data Market","Intent bridging, but only your friends can fill them! No more whitelisted market makers. You pick who can fill your intent!","https://ethglobal.b-cdn.net/projects/ipu74/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"FriendlyIntent","Mint, watermark, license, and protect your viral short form videos. Get paid by media outlets on your terms. Powered by Story Protocol, Walrus.","https://ethglobal.b-cdn.net/projects/he09i/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"VVLDrizzy","dmno.dev plugin - encrypted secrets using a PKP gated by Github auth + teams","https://ethglobal.b-cdn.net/projects/vaytr/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"DMNO - PKP secrets","OmiSwap is an innovative platform that enables voice-activated on-chain transactions through an AI wearable device, allowing users to seamlessly interact with multiple blockchain networks using natural language commands.","https://ethglobal.b-cdn.net/projects/b3ma8/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"OmiSwap","Using AI to registering your most personal identity IP, based on your open tabs","https://ethglobal.b-cdn.net/projects/tp1jd/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Earn Your Story AI","Transform conversations into contracts instantly with our app, combining advanced language models and blockchain for secure, efficient, and transparent deal closures.","https://ethglobal.b-cdn.net/projects/zjyn1/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"SmartSign","A blockchain-based payment solution for the cannabis industry. We eliminate cash-related risks and complexities for dispensaries by enabling secure crypto and fiat transactions, all settled in USDC. Simplifying operations, ensuring compliance, and improving customer experience.","https://ethglobal.b-cdn.net/projects/hk30m/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Dream Green","A defi calendly, book appointments onchain with a staked deposit","https://ethglobal.b-cdn.net/projects/h3cis/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"DeFi-Calendly","Post-Quantum Digital Signature on Trusted Execution Environment","https://ethglobal.b-cdn.net/projects/s48yc/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"PQP","An ERC-4626 tokenized vault designed to protect capital by betting against black swan events (P < 5%). Using market data, Kelly Criterion, and advanced strategies, we generate consistent yield while minimizing risk in prediction markets. Protect, profit, repeat.","https://ethglobal.b-cdn.net/projects/kxtyk/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Anti Swan","Launch your own AI-powered food meme coin as Omni Fungible Token (OFT) on 70+ chains in ONE click(*), made possible by LayerZero V2","https://ethglobal.b-cdn.net/projects/fkwf7/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"OmniMemeFoodFactory","Let your imagination flow and your creativity go, with the power of AI and IP","https://ethglobal.b-cdn.net/projects/x03th/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Cara IP","CarbonWheel is a platform that incentivizes electric vehicle (EV) users by rewarding them with carbon credits for their contributions to environmental sustainability.","https://ethglobal.b-cdn.net/projects/2x3ta/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Carbon Wheel","CarbonWheel is a platform that incentivizes electric vehicle (EV) users by rewarding them with carbon credits for their contributions to environmental sustainability.","https://ethglobal.b-cdn.net/projects/2x3ta/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Sign up to get the latest news and updates on ETHGlobal","Lens Chain is a user-friendly NFT platform specifically designed for photographers to mint, showcase, and trade their unique prints. (not fully done yet)","https://ethglobal.b-cdn.net/projects/2n6nx/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Carbon Wheel","A very simply prediction market implementation on using Essential's declarative smart contracts.","https://ethglobal.b-cdn.net/projects/nocgs/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"LensChain","With BuildBlocks, we have created drag and drop dynamic smart contract components and a platform that allows *anyone* to develop, compile, and deploy audited smart contracts on Rootstock","https://ethglobal.b-cdn.net/projects/af74h/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Decl Prediction Mrkt","Monetize your digital persona with ethical deep fakes—upload, create, and earn through secure face-swap videos while preserving your anonymity","https://ethglobal.b-cdn.net/projects/yhddc/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"BuildBlocks","Client-side object detection app deployed as a Walrus site. The app's dependencies are packaged into the project and published as a Walrus blob. The object detection model runs on the client's browser (thanks to transformers.js) without needing a web server for computation.","https://ethglobal.b-cdn.net/projects/mtyf9/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Swapped","Baldr is an open source gaming escrow platform which aims to resolve disputes and provide clear resolution for all users. With trust and transparency using sign protocol upon user attestations.","https://ethglobal.b-cdn.net/projects/wyv9f/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Walruspecs","An app that allows users to set up and manage personal pension funds using any ERC-20 token","https://ethglobal.b-cdn.net/projects/zzjn9/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Baldr","NeoGraph is a highly powerful and extensible data visualization tool, that seeks to provide new and interactive ways of deriving meaning of otherwise hard to sift through data.","https://ethglobal.b-cdn.net/projects/0ffz5/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"PPP","A decentralized omni-powerful AI personal assistant that can complete all kinds of tasks by operating directly on web browser","https://ethglobal.b-cdn.net/projects/gfwo5/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"NeoGraph","Home Owners Association Board Members want to do right by their communities. HOA Insight Smart Contracts help Board Members evaluate and vote on Proposals, Quotes and Funds Allocation, with transparency to their community.","https://ethglobal.b-cdn.net/projects/5bc3h/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Aloria","Build a bitcoin meme-defi dAPP on RootStock protocol, implementing Reflection Token Reward Logic","https://ethglobal.b-cdn.net/projects/dm8yg/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"HOA Insight","EAT stands for "Epicurean Advice & Travel" and lets users post reviews about their food and travel experiences, and allows users to collaborate to generate curated food guides. Share, Eat, and Earn.","https://ethglobal.b-cdn.net/projects/hdcq6/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"$deeproot","A concentration game powered by the Neurosity Crown! Mint Neurosaur NFTs depending on how focused you are during the game.","https://ethglobal.b-cdn.net/projects/4ymov/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"EAT Global","Chat GPT use twitter posts and onchain data to trustless manage funds via Intell SGX, XMTP and Smart Contract.","https://ethglobal.b-cdn.net/projects/wyviu/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Neurosaurs","An open Protocol for Marketing Teams to launch campaigns and events onchain","https://ethglobal.b-cdn.net/projects/tfpov/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"MAO One","Modular implementation of ERC721 in Stackr deployed on AvailDA","https://ethglobal.b-cdn.net/projects/15c7x/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"TrailLink","Beautiful lock screens for MetaMask. We redesigned the lock screen for most used crypto wallet MetaMask.","https://ethglobal.b-cdn.net/projects/suf85/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Stackr ERC721","A smart contract that trade according to user defined price and real time price","https://ethglobal.b-cdn.net/projects/cjm7o/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Meta Splash","Authors craft unique universes by defining key elements such as lore, environments, characters, and interactions. Build off another author's world, protect your IP and receive royalties.","https://ethglobal.b-cdn.net/projects/hot66/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"freeTrader","A Web3 betting platform on Skale with XMTP-powered messaging for group bets. USDC funds are transparently handled via smart contracts, and AI helps determine outcomes. Bets are finalized and resolved on-chain, ensuring secure, trustless, and engaging group betting experiences.","https://ethglobal.b-cdn.net/projects/9qx39/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"StoryVerse","Send tokens to friends via a link, without them needing a wallet upfront","https://ethglobal.b-cdn.net/projects/n3gsh/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Betsy","Using fully-homomorphic encryption on Fhenix to implement second-price sealed bid auctions, and using LayerZero to allow bids from any chain, unifying liquidity: a global secret auction across all chains.","https://ethglobal.b-cdn.net/projects/h4q81/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"SmolSend","Our Discovery Feed curates relevant news and offers based on user transaction history, driving higher engagement. By promoting actionable content, it boosts user retention, reduces churn, and encourages transactions.","https://ethglobal.b-cdn.net/projects/pugqi/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"OmnichainFHEAuction","ChainSage: AI-powered DeFi strategy optimizer across multiple chains. Leverages Zircuit for high-performance smart contracts, LayerZero for cross-chain messaging, and Phala Network for confidential AI computations. Maximize your DeFi returns with personalized, secure insights.","https://ethglobal.b-cdn.net/projects/0pwyv/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Things2Do","tinder for memecoins is a telegram mini app that lets you swipe right to purchase a memecoin","https://ethglobal.b-cdn.net/projects/q3i3k/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"ChainSage","Imagine being able to interact with your favorite protocols, but this time with a chat interface","https://ethglobal.b-cdn.net/projects/r0vyu/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"tinder for memecoins","There is room for improvement as to how we navigate conflict. Easy peace helps with that.","https://ethglobal.b-cdn.net/projects/mo3do/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"racoon-crypto-ai","In Omni Castles, players conquer castles across blockchains, using Skale’s gasless battles, Fhenix’s hidden armies with Acurast weather, and Rootstock’s Bitcoin-based morale. Control 70% of castles to be crowned Emperor—each requiring a unique strategy!","https://ethglobal.b-cdn.net/projects/yv5wp/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Easypeace","ProgressionXR blends AI, XR, and Web3 for the ultimate fitness journey! 🧠🕶️🌍 Train with AI wellness coaches, sync workouts with Fitbit & VR, and earn rewards through fitness challenges while ensuring your privacy with multichain attestations. 🚀💪","https://ethglobal.b-cdn.net/projects/84tjv/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Omni Castles","We make it easy for anyone - even consumers - to "cook" code with an AI-assisted interface.","https://ethglobal.b-cdn.net/projects/tcm75/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"ProgressionXR","AI agent to read charts and tell you where the orderblock is (so you know if it's a good time to buy)","https://ethglobal.b-cdn.net/projects/bmjyb/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Best Consumer App","Decentralized platform using Zero-Knowledge(K) circuits for secure identity verification.","https://ethglobal.b-cdn.net/projects/pucis/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"My Little Quant","Decentralized platform using Zero-Knowledge(K) circuits for secure identity verification.","https://ethglobal.b-cdn.net/projects/pucis/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Crède","Play-to-earn gaming platform and NFT marketplace powered by AI, Blockchain and Decentralized storage","https://ethglobal.b-cdn.net/projects/2up94/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Sign up to get the latest news and updates on ETHGlobal","An educational app for learning Web3 protocols with interactive lessons, on-chain actions, and attestations. Users earn XP, complete quizzes, and validate achievements on Polygon while seamlessly engaging with blockchain tech like Coinbase AA and Sign Attestation Protocol.","https://ethglobal.b-cdn.net/projects/ac8ng/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Crède","Our project is a secure, real-world, ID-verified notarization platform designed to streamline digital notarization while maintaining strong user privacy and security.","https://ethglobal.b-cdn.net/projects/hyb0a/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"bitGaming","TrueCanvas empowers digital artists to authenticate their original work using zero-knowledge proofs. By providing command logs and artworks, artists generate proofs published to blockchains. This allows anyone to verify authenticity, enhancing trust in digital creations.","https://ethglobal.b-cdn.net/projects/5uwmd/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Guides","Add feature that will allow user ENS names to be resolved to wallet address for payments","https://ethglobal.b-cdn.net/projects/zsjk1/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Notarix","EthBox is a Web3-based Dropbox for artists and listeners. It ensures secure, tamper-proof, and verifiable file sharing through Dynamic login and Weavechain for encrypted storage, and Skale’s Calypso Chain for transaction proofs creating a decentralized solution to protect IPs","https://ethglobal.b-cdn.net/projects/ce3s1/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"TrueCanvas","An on-chain platform for medical image storage, solving interoperability across global healthcare systems.","https://ethglobal.b-cdn.net/projects/66gcm/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"The Monk Store","Data aggregation app to give a real-time, reputational, and quantitative assessment of the community's health.","https://ethglobal.b-cdn.net/projects/sn19u/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"EthBox","An institutional grade UniV4 backtester that faithfully replays UniV3 events (Swap, Mint, Burn), and see how a hypothetical position would have performed over a time window.","https://ethglobal.b-cdn.net/projects/ht1e6/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Medily","Splits swaps across multiple transactions to prevent front running","https://ethglobal.b-cdn.net/projects/d7xqy/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"CareHippos","Implementation of an Automated Market Maker (AMM) contract using PINT (Programming Intent Notation). Supports providing liquidity, removing liquidity, token swaps, staking LP tokens, and claiming rewards based on staking duration.","https://ethglobal.b-cdn.net/projects/w7ccf/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"UniV4Backtester","A superior, decentralized alternative to online chess betting.","https://ethglobal.b-cdn.net/projects/y8v9e/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"CryptoBASO","TerraTracker: Harnessing blockchain and AI for hyper-local disaster predictions. Empower communities with real-time insights, engage users through staking rewards, and support relief efforts with a portion of profits. Predict. Prepare. Protect.","https://ethglobal.b-cdn.net/projects/7jne7/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Liquidity","The project aims to maintain stablecoin price stability within a Uniswap V4 pool by using Chronicle oracles and dynamic fees.","https://ethglobal.b-cdn.net/projects/ci8sj/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"ETHGambit","We don’t want a centralized organization controlling crucial video evidence of things like police brutality or war crimes, but safety and legality must be paramount. StreamChain combines the trust of decentralized storage with the versatility of multi-modal LLM moderation.","https://ethglobal.b-cdn.net/projects/zj41z/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"TerraTracker","Undegen simplifies portfolio management by using a risk survey defined strategy to build and rebalance crypto investments automatically. Users can easily sign up, deposit funds, and maintain an optimal mix of assets based on their risk tolerance.","https://ethglobal.b-cdn.net/projects/ym8tt/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Fluxus","Æxtend is a way to take your life, your specialty, and spread it everywhere.","https://ethglobal.b-cdn.net/projects/6e2df/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"StreamChain","Memecoin collecting with Tinder UI and points. If you like it, swipe right 🚀","https://ethglobal.b-cdn.net/projects/zucyg/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"undegen finance","We built a React app that connects to user authentication via Alchemy’s Accounts UI Widget. We're creating a composite Ethereum token of two crypto carbon credits on Celo using Toucan Protocol. A subgraph listens to wallet events and broadcasts via XMTP to a Telegram bot.","https://ethglobal.b-cdn.net/projects/gus4z/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Æxtend","We built the first DEX on Essential Blockchain, powered by a declarative framework. Users can seamlessly add/remove liquidity, swap tokens, and earn LP tokens. Plus, we open-sourced a JS framework to make Essential development accessible to all developers.","https://ethglobal.b-cdn.net/projects/70ayj/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Swipa.meme","Super secure password management to prevent database pass code from getting lost or stolen.","https://ethglobal.b-cdn.net/projects/z2esk/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Crypto Carbon Alerts","Smart Ethereum Wallet is a secure, user-friendly wallet tracker that monitors your Ethereum wallet activities, sends notifications for incoming/outgoing transactions, and provides a summary of balance changes over time—all in one streamlined dashboard.","https://ethglobal.b-cdn.net/projects/t692u/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"PintSwap","A blazing fast cross-chain bridge utilizing account abstraction across all EVM chains","https://ethglobal.b-cdn.net/projects/vepwo/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"SuperPass","Improve your fitness goals while also exposing yourself to immense monetary gain.","https://ethglobal.b-cdn.net/projects/vdz5o/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"SmartEthereumWallet","Custom Curve Custom Curve Custom Curve Custom Curve Custom Curve","https://ethglobal.b-cdn.net/projects/vjk7e/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
